year,season,noc,team,sport,event,medal
2002,Winter,USA,United States,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
2004,Summer,GBR,Great Britain,Swimming,Swimming Men's 200 metres Butterfly,Bronze
2012,Summer,HUN,Hungary,Athletics,Athletics Men's Hammer Throw,Gold
2002,Winter,USA,United States,Skeleton,Skeleton Women's Skeleton,Silver
2002,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
2002,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
2006,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
2006,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
2006,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Combined,Bronze
2010,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Combined,Bronze
1952,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
1956,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver
1960,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
1912,Summer,GBR,Great Britain,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
1992,Summer,POL,Poland,Athletics,Athletics Men's High Jump,Bronze
1996,Summer,POL,Poland,Athletics,Athletics Men's High Jump,Silver
2002,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold
1948,Summer,FIN,Finland,Athletics,Athletics Women's Javelin Throw,Silver
1996,Summer,KAZ,Kazakhstan,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
1980,Summer,GDR,East Germany,Athletics,Athletics Men's Long Jump,Silver
1992,Summer,ESP,Spain,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
2012,Summer,RUS,Russia,Gymnastics,Gymnastics Women's Horse Vault,Bronze
2016,Summer,RUS,Russia,Gymnastics,Gymnastics Women's Horse Vault,Silver
1980,Summer,BUL,Bulgaria,Weightlifting,Weightlifting Men's Lightweight,Bronze
1906,Summer,GRE,Greece,Tennis,Tennis Women's Singles,Bronze
1896,Summer,GRE,Greece,Tennis,Tennis Men's Singles,Bronze
1984,Summer,FRG,West Germany,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
1988,Winter,ITA,Italy,Biathlon,Biathlon Men's 20 kilometres,Bronze
2000,Summer,POL,Poland,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
2004,Summer,POL,Poland,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
1948,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1992,Summer,GRE,Greece,Athletics,Athletics Women's 100 metres Hurdles,Gold
1984,Summer,ROU,Romania,Swimming,Swimming Women's 200 metres Backstroke,Bronze
2008,Summer,ARM,Armenia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
2008,Summer,GBR,Great Britain,Swimming,Swimming Women's 10 kilometres Open Water,Bronze
2004,Summer,USA,United States,Gymnastics,Gymnastics Women's Individual All-Around,Gold
2004,Summer,USA,United States,Gymnastics,Gymnastics Women's Balance Beam,Silver
1952,Summer,USA,United States,Boxing,Boxing Men's Middleweight,Gold
1948,Summer,USA,United States,Athletics,Athletics Women's 200 metres,Bronze
1948,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Gold
1972,Summer,ROU,Romania,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
1980,Summer,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1984,Summer,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
1984,Summer,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1984,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
1984,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Balance Beam,Gold
1960,Winter,CAN,Canada-1,Figure Skating,Figure Skating Mixed Pairs,Gold
2004,Summer,POR,Portugal,Cycling,"Cycling Men's Road Race, Individual",Silver
1948,Summer,NOR,Norway,Athletics,Athletics Men's High Jump,Silver
1996,Summer,USA,United States,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1900,Summer,BEL,Belgium,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Bronze
1936,Winter,AUT,Austria-1,Figure Skating,Figure Skating Mixed Pairs,Silver
1932,Summer,ITA,Italy,Cycling,"Cycling Men's Road Race, Individual",Gold
1956,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Individual",Gold
2012,Summer,FRA,France,Judo,Judo Women's Lightweight,Bronze
1896,Summer,GRE,Greece,Shooting,"Shooting Men's Military Rifle, 200 metres",Silver
1996,Summer,BLR,Belarus,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
1980,Summer,BUL,Bulgaria,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
2004,Summer,RUS,Russia,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1948,Winter,AUT,Austria,Figure Skating,Figure Skating Women's Singles,Silver
1980,Summer,POL,Poland,Judo,Judo Men's Half-Lightweight,Bronze
1988,Summer,POL,Poland,Judo,Judo Men's Half-Lightweight,Silver
1956,Summer,POL,Poland,Fencing,"Fencing Men's Sabre, Individual",Silver
1968,Summer,POL,Poland,Fencing,"Fencing Men's Sabre, Individual",Gold
2008,Summer,USA,United States,Athletics,Athletics Men's 110 metres Hurdles,Silver
2008,Summer,GBR,Great Britain,Swimming,Swimming Women's 10 kilometres Open Water,Silver
1920,Summer,USA,United States,Diving,Diving Women's Springboard,Bronze
1906,Summer,FRA,France,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1906,Summer,FRA,France,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events",Gold
1960,Summer,POL,Poland,Boxing,Boxing Men's Lightweight,Gold
1960,Summer,IRI,Iran,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
1932,Summer,USA,United States,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
1928,Summer,AUS,Australia,Rowing,Rowing Men's Single Sculls,Gold
1932,Summer,AUS,Australia,Rowing,Rowing Men's Single Sculls,Gold
1920,Summer,USA,United States,Athletics,Athletics Men's 10 kilometres Walk,Silver
1984,Summer,AUS,Australia,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
2016,Summer,GBR,Great Britain,Swimming,Swimming Men's 100 metres Breaststroke,Gold
1968,Summer,URS,Soviet Union,Athletics,Athletics Women's 400 metres,Bronze
1992,Winter,EUN,Unified Team,Biathlon,Biathlon Women's 15 kilometres,Silver
1992,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Bronze
1994,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Bronze
1994,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Gold
1998,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
1998,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Gold
2002,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
2002,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Gold
2006,Winter,GER,Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Silver
1980,Summer,TCH,Czechoslovakia,Rowing,Rowing Men's Double Sculls,Bronze
2008,Summer,GER,Germany,Sailing,Sailing Mixed Skiff,Bronze
1920,Summer,DEN,Denmark,Boxing,Boxing Men's Flyweight,Silver
1936,Summer,DEN,Denmark,Boxing,Boxing Men's Welterweight,Bronze
1964,Summer,NZL,Pandora,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
2006,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
2006,Winter,SUI,Switzerland,Skeleton,Skeleton Women's Skeleton,Gold
1968,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Silver
1968,Summer,USA,United States,Swimming,Swimming Women's 200 metres Individual Medley,Silver
1968,Summer,MEX,Mexico,Athletics,Athletics Men's 20 kilometres Walk,Silver
1996,Summer,USA,United States,Judo,Judo Men's Lightweight,Bronze
2004,Summer,USA,United States,Judo,Judo Men's Lightweight,Bronze
2000,Summer,CUB,Cuba,Athletics,Athletics Men's Long Jump,Gold
2000,Summer,GBR,Great Britain,Shooting,Shooting Men's Trap,Silver
1988,Summer,NED,Netherlands,Cycling,Cycling Men's Points Race,Silver
1988,Summer,BEL,Belgium,Shooting,Shooting Mixed Trap,Bronze
1920,Summer,NED,Netherlands,Cycling,Cycling Men's Sprint,Gold
1932,Summer,RSA,South Africa,Boxing,Boxing Men's Middleweight,Bronze
2000,Summer,USA,United States,Swimming,Swimming Men's 200 metres Backstroke,Silver
2004,Summer,USA,United States,Swimming,Swimming Men's 100 metres Backstroke,Gold
2004,Summer,USA,United States,Swimming,Swimming Men's 200 metres Backstroke,Gold
2008,Summer,USA,United States,Swimming,Swimming Men's 100 metres Backstroke,Gold
2008,Summer,USA,United States,Swimming,Swimming Men's 200 metres Backstroke,Silver
2008,Summer,CRO,Croatia,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
1924,Summer,FIN,Finland,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
2000,Summer,AUS,Australia,Judo,Judo Women's Lightweight,Bronze
1980,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
1984,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
1984,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
2000,Summer,RUS,Russia,Athletics,Athletics Women's Shot Put,Silver
1932,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Individual All-Around,Silver
1932,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1932,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1932,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1912,Summer,ITA,Italy,Art Competitions,Art Competitions Mixed Painting,Gold
2004,Summer,ITA,Italy,Swimming,Swimming Women's 200 metres Freestyle,Silver
2008,Summer,ITA,Italy,Swimming,Swimming Women's 200 metres Freestyle,Gold
1996,Summer,CAN,Canada,Diving,Diving Women's Springboard,Bronze
2002,Winter,CAN,Canada-1,Figure Skating,Figure Skating Mixed Pairs,Gold
2000,Summer,ITA,Italy,Shooting,Shooting Men's Trap,Bronze
2004,Summer,ITA,Italy,Shooting,Shooting Men's Trap,Silver
2008,Summer,ITA,Italy,Shooting,Shooting Men's Trap,Silver
2016,Summer,ITA,Italy,Shooting,Shooting Men's Trap,Silver
1924,Summer,FIN,Finland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1928,Summer,FIN,Finland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1932,Summer,FIN,Finland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
1932,Summer,ITA,Italy,Cycling,Cycling Men's Sprint,Bronze
1912,Summer,FIN,Finland,Athletics,"Athletics Men's Javelin Throw, Both Hands",Bronze
1920,Summer,FIN,Finland,Athletics,Athletics Men's Javelin Throw,Silver
1992,Summer,ESP,Spain,Athletics,Athletics Men's Decathlon,Silver
1920,Summer,USA,United States,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
2008,Summer,GBR,Great Britain,Cycling,Cycling Women's Sprint,Gold
2012,Summer,GBR,Great Britain,Cycling,Cycling Women's Sprint,Silver
2012,Summer,GBR,Great Britain,Cycling,Cycling Women's Keirin,Gold
2016,Summer,CAN,Canada,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
1964,Summer,ROU,Romania,Athletics,Athletics Women's Javelin Throw,Gold
1968,Summer,ROU,Romania,Athletics,Athletics Women's Javelin Throw,Silver
2004,Summer,CHN,China,Diving,Diving Men's Springboard,Gold
1980,Summer,BRA,Brazil,Sailing,Sailing Mixed Two Person Dinghy,Gold
1920,Summer,FIN,Finland,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
1932,Summer,FIN,Finland,Athletics,Athletics Men's Javelin Throw,Bronze
1956,Summer,FIN,Finland,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
1964,Summer,URS,Soviet Union,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
1896,Summer,GRE,Greece,Swimming,Swimming Men's 500 metres Freestyle,Silver
1984,Summer,FRA,France,Sailing,Sailing Mixed Two Person Dinghy,Bronze
1988,Summer,FRA,France,Sailing,Sailing Men's Two Person Dinghy,Gold
2002,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
1996,Summer,ITA,Italy,Shooting,Shooting Men's Double Trap,Silver
1968,Winter,FRA,France,Figure Skating,Figure Skating Men's Singles,Bronze
1972,Winter,FRA,France,Figure Skating,Figure Skating Men's Singles,Bronze
1928,Summer,ARG,Argentina,Boxing,Boxing Men's Featherweight,Silver
2008,Summer,FRA,France,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
2000,Summer,GBR,Great Britain,Sailing,Sailing Men's One Person Dinghy,Gold
2008,Summer,GBR,Great Britain,Sailing,Sailing Men's Two Person Keelboat,Gold
2012,Summer,GBR,Great Britain,Sailing,Sailing Men's Two Person Keelboat,Silver
1988,Winter,CAN,Canada,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
1988,Winter,CAN,Canada,Alpine Skiing,Alpine Skiing Women's Super G,Bronze
1992,Summer,FRA,France,Athletics,Athletics Women's 400 metres,Gold
1996,Summer,FRA,France,Athletics,Athletics Women's 200 metres,Gold
1996,Summer,FRA,France,Athletics,Athletics Women's 400 metres,Gold
2000,Summer,CUB,Cuba,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
2012,Summer,BRA,Brazil,Swimming,Swimming Men's 400 metres Individual Medley,Silver
1972,Summer,COL,Colombia,Boxing,Boxing Men's Lightweight,Bronze
1996,Summer,ESP,Spain,Judo,Judo Men's Heavyweight,Silver
2008,Summer,MEX,Mexico,Taekwondo,Taekwondo Men's Flyweight,Gold
1996,Summer,ECU,Ecuador,Athletics,Athletics Men's 20 kilometres Walk,Gold
2008,Summer,ECU,Ecuador,Athletics,Athletics Men's 20 kilometres Walk,Silver
1980,Summer,MEX,Mexico,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
1948,Summer,ARG,Argentina,Boxing,Boxing Men's Flyweight,Gold
1906,Summer,GRE,Greece,Shooting,"Shooting Men's Trap, Single Shot, 16 metres",Silver
1960,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
1968,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
1992,Summer,AUS,Australia,Swimming,Swimming Men's 400 metres Freestyle,Silver
1992,Summer,AUS,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
1996,Summer,AUS,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
2000,Summer,AUS,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
2012,Summer,AUS,Australia,Cycling,Cycling Men's Sprint,Bronze
2012,Summer,CRO,Croatia,Athletics,Athletics Women's Discus Throw,Gold
2016,Summer,CRO,Croatia,Athletics,Athletics Women's Discus Throw,Gold
1964,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1992,Summer,EUN,Unified Team,Athletics,Athletics Men's 50 kilometres Walk,Gold
2002,Winter,AUT,Austria,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
1948,Summer,ITA,Italy,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
1952,Summer,URS,Soviet Union,Boxing,Boxing Men's Light-Heavyweight,Bronze
1998,Winter,CAN,Canada,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
1900,Summer,FRA,France,Fencing,"Fencing Men's epee, Individual",Silver
1996,Summer,ITA,Italy,Athletics,Athletics Women's 10 kilometres Walk,Silver
1896,Summer,FRA,France,Fencing,"Fencing Men's Foil, Masters, Individual",Silver
1896,Summer,GRE,Greece,Athletics,Athletics Men's Triple Jump,Bronze
1896,Summer,GRE,Greece,Gymnastics,Gymnastics Men's Rings,Bronze
2000,Summer,EST,Estonia,Judo,Judo Men's Heavyweight,Bronze
2004,Summer,EST,Estonia,Judo,Judo Men's Heavyweight,Bronze
1920,Summer,FIN,Finland,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1980,Summer,URS,Soviet Union,Weightlifting,Weightlifting Men's Middleweight,Silver
1992,Summer,BUL,Bulgaria,Weightlifting,Weightlifting Men's Featherweight,Silver
1996,Summer,BUL,Bulgaria,Weightlifting,Weightlifting Men's Bantamweight,Bronze
2000,Summer,CRO,Croatia,Weightlifting,Weightlifting Men's Featherweight,Gold
2004,Summer,CRO,Croatia,Weightlifting,Weightlifting Men's Lightweight,Bronze
2004,Summer,FRA,France,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
1956,Summer,ITA,Italy,Cycling,Cycling Men's Sprint,Silver
1960,Winter,NED,Netherlands,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
2004,Summer,BRA,Brazil,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
2012,Summer,FIN,Finland,Sailing,Sailing Women's Windsurfer,Silver
2004,Summer,THA,Thailand,Boxing,Boxing Men's Bantamweight,Silver
1988,Summer,GDR,East Germany,Rowing,Rowing Women's Double Sculls,Gold
2012,Summer,GER,Germany,Judo,Judo Men's Half-Heavyweight,Bronze
1972,Summer,GBR,Great Britain,Athletics,Athletics Women's Pentathlon,Gold
1920,Summer,DEN,Denmark,Athletics,Athletics Men's Pole Vault,Silver
1924,Summer,DEN,Denmark,Art Competitions,Art Competitions Mixed Literature,Silver
1932,Summer,DEN,Denmark,Art Competitions,Art Competitions Mixed Literature,Silver
1948,Summer,DEN,Denmark,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver
1920,Summer,DEN,Denmark,Boxing,Boxing Men's Heavyweight,Silver
1924,Summer,DEN,Denmark,Boxing,Boxing Men's Heavyweight,Silver
1924,Summer,DEN,Denmark,Boxing,Boxing Men's Light-Heavyweight,Silver
1994,Winter,USA,United States,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
1968,Summer,USA,United States,Diving,Diving Women's Platform,Bronze
1972,Summer,USA,United States,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
1976,Summer,USA,United States,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
2010,Winter,USA,United States,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver
1972,Summer,USA,United States,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
1976,Summer,USA,United States,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
1964,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
1972,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
2014,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's Sprint,Silver
1996,Summer,SWE,Sweden,Archery,Archery Men's Individual,Silver
1920,Summer,SWE,Sweden,Athletics,Athletics Men's Long Jump,Gold
1992,Summer,EUN,Unified Team,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
1900,Summer,FRA,France,Archery,"Archery Men's Au Chapelet, 33 metres",Bronze
1900,Summer,FRA,France,Archery,"Archery Men's Au Cordon Dore, 33 metres",Bronze
1964,Summer,BUL,Bulgaria,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
1976,Summer,YUG,Yugoslavia,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
2012,Summer,LTU,Lithuania,Boxing,Boxing Men's Lightweight,Bronze
1976,Summer,URS,Soviet Union,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
1976,Summer,URS,Soviet Union,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1988,Winter,URS,Soviet Union,Figure Skating,Figure Skating Men's Singles,Bronze
1992,Winter,EUN,Unified Team,Figure Skating,Figure Skating Men's Singles,Gold
1956,Summer,ROU,Romania,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2016,Summer,GEO,Georgia,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
1972,Summer,TCH,Czechoslovakia,Rowing,Rowing Men's Coxed Pairs,Silver
1988,Summer,POL,Poland,Boxing,Boxing Men's Light-Heavyweight,Bronze
1968,Summer,URS,Soviet Union,Gymnastics,Gymnastics Women's Floor Exercise,Gold
1968,Summer,URS,Soviet Union,Gymnastics,Gymnastics Women's Balance Beam,Bronze
1968,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
1980,Summer,AUT,Austria,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze
2008,Summer,UKR,Ukraine,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2016,Summer,GRE,Greece,Gymnastics,Gymnastics Men's Rings,Gold
1908,Summer,RUS,Russia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1996,Summer,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
2000,Summer,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
1960,Summer,BUL,Bulgaria,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
1980,Summer,BUL,Bulgaria,Athletics,Athletics Men's 100 metres,Bronze
1956,Summer,URS,Soviet Union,Rowing,Rowing Men's Coxed Pairs,Bronze
1968,Summer,URS,Soviet Union,Shooting,Shooting Mixed Skeet,Gold
1972,Summer,URS,Soviet Union,Shooting,Shooting Mixed Skeet,Silver
1998,Winter,UKR,Ukraine,Biathlon,Biathlon Women's 15 kilometres,Silver
1992,Summer,EUN,Unified Team,Judo,Judo Women's Half-Middleweight,Bronze
